item_name,category_name
ülker petibor kakaolu 450 gr,büskivi çerez
ülker rondo kremali biskuvi,büskivi çerez
ülker 9 kat 100 gr.çilekli gofret,büskivi çerez
ülker hanimeller cokodamla,büskivi çerez
ülker canpare cik.kremali snd 85 gr,büskivi çerez
eti browni intense mini poşet,büskivi çerez
eti petito ayicik 25 gr,büskivi çerez
eti browni intense çik. kapli kek 114gr 3 lü,büskivi çerez
eti petito sutlu krema dolgulu beyaz cik,büskivi çerez
eti burcak sutlu kremali 100 g,büskivi çerez
eti crax baharatli cubuk 50gr,büskivi çerez
f neffis süt yarim yağli 1 lt,süt
içim m.suyu 1000 gr seftali,gazsız içecek
"burc dogal kaynak su 1,5 l",su madensuyu
dimes 1lt kirmizi meyvelerden,gazsız içecek
halk m. suyu 200ml yeni visne narita,gazsız içecek
erikli dogal memba su 5 lt,su madensuyu
erikli dogal memba su 500ml,su madensuyu
pınar m.suyu 200 ml cilgin portakal armut elma,gazsız içecek
colgate d.f.mikro hassas yumusak soft,ağız bakim
billur tuz 750 gr.,tuz baharat
burc dogal kaynak su 5 l,su madensuyu
billur tuz 1.5 kg eko,tuz baharat
h.sakir sab.beyaz 4lu dogal,duş banyo
dove men cream bar extra fresh 90gr,duş banyo
duru perfume 500+250 orkide ozlu,duş banyo
"kay su 1,5 lt",su madensuyu
pınar yasam pınarim 10 lt,su madensuyu
gozde macar salam 850gr bufe,et şarküteri
maret macar uzun salam 1kg,et şarküteri
renga helezon tuzluk,mutfak eşya gereçleri
ekmek 250 gr,unlu mamüller
dr.oetker puding muzlu 125gr,unlu mamüller
bizim mutfak mısır nisasta 150 gr,unlu mamüller
içim salep tekli,çay kahve
carte dor damla sakızli muhallebi 134gr,unlu mamüller
trabzon&koy ekmegi,unlu mamüller
bizden mısır 1 kg,unlu mamüller
sultan kep.buğday ekmegi,unlu mamüller
yedoy tatli kuru pasta,unlu mamüller
sultan kepekli ekmek,unlu mamüller
sultan ekler pasta,unlu mamüller
bizden manti 250 gr,unlu mamüller
savas kete,unlu mamüller
ülker kakao 25 gr.-606-,unlu mamüller
